RA_ICRS,DE_ICRS,Source,GLON,GLAT,plx,pmRA_1,pmDE_1,o_Gmag,Gmag,BP-RP,PMemb,Cluster,_RA_icrs,_DE_icrs,RAhour,DEdeg,Bmag,Vmag,Jmag,Hmag,Ksmag,e_Jmag,e_Hmag,e_Ksmag,pmRA_2,pmDE_2,e_pm,RV,e_RV,Qflg,Rflg,Bflg,2MASS,ASCC,SpType,Rcl,Ps,Pkin,PJKs,PJH,MWSC,Separation
-0.64633850868,-29.04211046067,2333153679752698368,20.6579309486,-77.9388645792,4.2766,18.533,2.1660000000000004,209,15.040868,1.907647,1.0,Blanco_1,359.353570220324,-29.0421197864725,-0.04309652,-29.042133,16.5,14.7,12.796,12.171,11.998,0.03,0.03,0.03,20.26,-0.49,4.09,999.99,-9.99,AAA,222,111,142137983,0,,1.6411,1,88.76,87.84,30.79,7,0.35362610053033505
-0.52023197632,-28.96201726014,2333161479413305984,20.9879027539,-78.0566407036,4.4703,18.891000000000002,2.1430000000000002,165,17.361666,2.79916,1.0,Blanco_1,359.479675061679,-28.9620264869136,-0.03469044,-28.962048,18.8,17.1,14.404,13.822,13.618,0.032,0.035,0.041,35.52,8.13,4.74,999.99,-9.99,AAA,222,111,142140906,0,,1.6043,1,4.23,99.14,100.0,7,0.4074145654088932
-0.17299078158,-28.35778670415,2333306099552537728,23.8296431518,-78.4061192229,4.353,19.219,2.2620000000000005,262,15.385542,2.022717,1.0,Blanco_1,359.826915185924,-28.3577964432844,-0.01153993,-28.357815,17.0,15.2,13.045,12.341,12.215,0.03,0.03,0.03,21.6,-4.92,4.09,999.99,-9.99,AAA,222,111,142160397,0,,1.8842,1,43.69,100.0,100.0,7,0.35724053502286796
-0.06309218471,-28.25635240942,2333308401655007872,24.3122870432,-78.5077236588,4.3383,18.998,1.7320000000000002,249,12.387129,0.995317,0.9,Blanco_1,359.936814952668,-28.2563598666108,-0.00421459,-28.256363,12.4,11.7,11.109,10.706,10.659,0.03,0.03,0.03,19.38,-1.87,4.09,999.99,-9.99,AAA,222,111,142173707,0,,1.9303,1,77.18,100.0,100.0,7,0.4034247795221071
-0.72953940885,-28.07005430059,2333284998377999872,25.321620167,-77.9268102375,4.1573,19.080000000000002,2.4200000000000004,222,17.77598,3.169872,1.0,Blanco_1,359.270367489916,-28.070064720003,-0.04864339,-28.07005,19.6,17.5,14.553,13.992,13.673,0.039,0.043,0.045,16.95,1.44,5.3,999.99,-9.99,AAA,222,111,142124125,0,,2.3911,0,92.86,49.88,99.27,7,0.3544736517871812
-0.44711588578,-28.60392771837,2333202779818803584,22.6928448343,-78.1505564797,4.0717,19.21,2.439,235,17.17102,2.684488,1.0,Blanco_1,359.552789906446,-28.6039382195874,-0.02981144,-28.603935,18.7,17.0,14.302,13.728,13.435,0.032,0.039,0.037,27.45,-3.43,4.09,999.99,-9.99,AAA,222,111,142141439,0,,1.8162,1,25.09,56.82,99.98,7,0.17815802706133485
-0.35313425169,-27.83928347275,2333385333109198208,26.416422591,-78.2626737851,4.3552,19.862000000000002,2.628,232,17.047653,2.701981,0.8,Blanco_1,359.646769038229,-27.8392947877163,-0.02354831,-27.839304,18.8,16.7,14.154,13.502,13.406,0.03,0.03,0.039,20.62,-2.5,4.0,999.99,-9.99,AAA,222,111,142154563,0,,2.4172,0,69.08,61.19,56.74,7,0.29712491145338793
1.83311521139,-28.16131933928,2333465253860212352,24.3487072679,-80.1813889278,4.1794,18.787000000000003,3.3280000000000003,190,17.958715,2.996283,0.9,Blanco_1,1.83302346179885,-28.1613336681383,0.12220253,-28.161371,19.9,17.6,14.857,14.306,14.22,0.037,0.054,0.064,18.03,7.48,4.09,999.99,-9.99,AAA,222,111,108878650,0,,2.0167,1,64.0,11.05,99.49,7,0.30821052966037316
-1.41808103171,-28.58375527596,2333990820418626048,23.0390340468,-77.3009573366,4.514,19.221000000000004,1.8620000000000003,226,16.450613,2.537061,1.0,Blanco_1,358.581824724661,-28.5837632928719,-0.09454892,-28.583757,18.0,16.2,13.76,13.096,12.947,0.03,0.03,0.03,19.56,-0.88,4.09,999.99,-9.99,AAA,222,111,123001967,0,,2.4577,0,86.11,100.0,93.68,7,0.48284489907653483
-0.74654656398,-27.92326033298,2334037755821224576,26.0241734569,-77.9142130096,4.2008,19.180000000000003,1.9290000000000003,235,10.340158,0.59075,1.0,Blanco_1,359.253359974224,-27.9232686383651,-0.04977752,-27.923283,10.904,10.408,9.638,9.409,9.362,0.03,0.03,0.03,19.02,-2.06,2.2,999.99,-9.99,AAA,222,111,142124355,1713738,,2.52,0,36.88,100.0,100.0,7,0.37832586424768355
3.65187341602,-30.88188192397,2319629338837989632,5.7542571223,-81.1197294194,4.1766,18.253000000000004,3.4300000000000006,233,17.391338,2.962837,1.0,Blanco_1,3.65178184433287,-30.8818966919933,0.24344853,-30.881878,19.3,18.0,14.298,13.697,13.446,0.032,0.037,0.046,18.48,8.48,4.0,999.99,-9.99,AAA,222,111,183595007,0,,2.543,0,53.57,80.21,100.0,7,0.44977662568129445
3.27230508717,-31.38303749418,2319579036180868352,3.6811680213,-80.6211204577,4.332,19.189000000000004,2.8220000000000005,225,17.980492,2.925285,0.9,Blanco_1,3.27220830981049,-31.3830496444214,0.21814553,-31.38302,19.7,17.7,14.89,14.28,14.112,0.037,0.052,0.068,24.57,6.28,5.0,999.99,-9.99,AAA,222,111,145741963,0,,2.4751,0,67.29,98.29,87.77,7,0.38040522755487616
2.40462046367,-31.68706045593,2319648103550670208,3.8375087667,-79.8219660782,4.1333,18.255000000000003,3.5940000000000003,236,16.77383,2.608773,1.0,Blanco_1,2.40452809655164,-31.6870759300634,0.16030008,-31.687119,18.6,16.8,14.003,13.402,13.175,0.03,0.043,0.034,22.26,-7.84,4.0,999.99,-9.99,AAA,222,111,145686339,0,,2.1326,1,18.24,98.08,100.0,7,0.42093649177005005
3.24214381893,-30.82107616511,2319815366757378560,6.9529874856,-80.8163724363,4.3981,19.364,3.7380000000000004,211,16.724674,2.961225,0.8,Blanco_1,3.24204673513851,-30.8210922592405,0.21613325,-30.82106,18.3,16.5,13.666,13.084,12.791,0.03,0.03,0.03,18.75,-0.98,4.0,999.99,-9.99,AAA,222,111,145741169,0,,2.1922,1,83.49,80.06,90.99,7,0.45240608882467626
2.83769635082,-30.1407612958,2319914700760997504,11.6663615791,-80.7066264117,4.1116,18.061000000000003,3.2620000000000005,192,13.346388,1.24892,1.0,Blanco_1,2.83760643043154,-30.1407753404916,0.18916959,-30.140759,13.8,12.5,11.809,11.279,11.239,0.03,0.03,0.03,15.14,4.23,4.0,999.99,-9.99,AAA,222,111,145720685,0,,1.6956,1,67.99,77.26,91.6,7,0.475266330572465
2.39835567355,-30.73337944763,2319866352313739648,8.9598983493,-80.1656355655,4.1534,18.894000000000002,3.5490000000000004,203,17.649733,3.191633,0.9,Blanco_1,2.3982610324757,-30.7333947280123,0.15988146,-30.733404,19.6,17.6,14.439,13.808,13.482,0.03,0.039,0.037,19.96,3.2,4.0,999.99,-9.99,AAA,222,111,145684930,0,,1.4975,1,98.59,1.11,85.32,7,0.4231895668980872
1.81115939146,-31.25738992772,2319734582716691200,7.1218095158,-79.5152967294,4.1815,18.731,3.0050000000000003,238,17.584875,2.868427,1.0,Blanco_1,1.81106504994007,-31.25740286588,0.12073687,-31.257366,19.2,17.3,14.581,13.95,13.791,0.032,0.034,0.046,34.09,43.97,10.85,999.99,-9.99,AAA,222,111,145644010,0,,1.4886,1,1.61,99.98,65.91,7,0.3382785669907294
