# File generated by CMD 3.2 (http://stev.oapd.inaf.it/cmd) on Wed May 29 16:04:51 CEST 2019
# isochrones based on PARSEC release v1.2S +  COLIBRI S_35
# Basic references: Bressan et al. (2012), MNRAS, 427, 127 + Chen et al. (2014, 2015), MNRAS, 444, 2525 + MNRAS, 452, 1068 + Tang et al. (2014), MNRAS, 445, 4287 + Marigo et al. (2017), ApJ, 835, 77 + Pastorelli al. (2019), MNRAS in press
# Thermal pulse cycles included 
# On RGB, assumed Reimers mass loss with efficiency eta=0.2
# Photometric system: Gaia's DR2 G, G_BP and G_RP (Vegamags, Gaia passbands from Maiz-Apellaniz and Weiler 2018)
# Using YBC version of bolometric corrections as in Chen et al. (2019)
# O-rich circumstellar dpmod60alox40 dust from Groenewegen (2006)
# C-rich circumstellar AMCSIC15 dust from Groenewegen (2006)
# IMF: Kroupa (2001, 2002) + Kroupa et al. (2013) canonical two-part-power law IMF corrected for unresolved binaries 
# Kind of output: isochrone tables
# Zini logAge Mini int_IMF  Mass   logL    logTe  logg  label   McoreTP C_O  period0 period1 pmode  Mloss  tau1m   X   Y   Xc  Xn  Xo  Cexcess  Z 	 mbolmag  Gmag    G_BPbrmag  G_BPftmag  G_RPmag
0.0152 7.750 0.0900000036 1.0816895962    0.090 -2.575  3.4039  4.535    0  0.000  0.545     0.00     0.00 -1 -6.09e-16      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 11.208 13.248 15.953 15.999 11.796
0.0152 7.750 0.0916961432 1.0977416039    0.092 -2.563  3.4055  4.537    0  0.000  0.545     0.00     0.00 -1  -6.2e-16      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 11.176 13.217 15.921 15.968 11.764
0.0152 7.750 0.1000000015 1.1711064577    0.100 -2.499  3.4133  4.542    0  0.000  0.545     0.00     0.00 -1 -6.83e-16      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 11.018 13.058 15.764 15.811 11.605
0.0152 7.750 0.1048448756 1.2103482485    0.105 -2.467  3.4172  4.546    0  0.000  0.545     0.00     0.00 -1 -7.15e-16      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 10.937 12.961 15.648 15.694 11.512
0.0152 7.750 0.1197954714 1.3179659843    0.120 -2.371  3.4289  4.555    0  0.000  0.545     0.00     0.00 -1 -8.27e-16      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 10.697 12.568 15.068 15.114 11.157
0.0152 7.750 0.1200000122 1.3193155527    0.120 -2.370  3.4290  4.555    0  0.000  0.545     0.00     0.00 -1 -8.28e-16      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 10.694 12.562 15.060 15.106 11.152
0.0152 7.750 0.1346695572 1.4089684486    0.135 -2.291  3.4381  4.563    0  0.000  0.545     0.00     0.00 -1 -9.28e-16      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 10.498 12.245 14.602 14.647 10.865
0.0152 7.750 0.1400000006 1.4384527206    0.140 -2.264  3.4412  4.565    0  0.000  0.545     0.00     0.00 -1 -9.66e-16      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 10.430 12.138 14.449 14.495 10.769
0.0152 7.750 0.1599999964 1.5372931957    0.160 -2.174  3.4513  4.574    0  0.000  0.545     0.00     0.00 -1  -1.1e-15      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 10.206 11.786 13.947 13.993 10.450
0.0152 7.750 0.2000000030 1.6938791275    0.200 -2.025  3.4675  4.586    0  0.000  0.545     0.00     0.00 -1 -1.37e-15      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 9.833 11.219 13.148 13.193 9.938
0.0152 7.750 0.2378355414 1.8084347248    0.238 -1.913  3.4791  4.595    0  0.000  0.545     0.00     0.00 -1 -1.61e-15      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 9.551 10.811 12.592 12.637 9.568
0.0152 7.750 0.2500000000 1.8403258324    0.250 -1.880  3.4824  4.597    0  0.000  0.545     0.00     0.00 -1 -1.69e-15      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 9.470 10.694 12.431 12.476 9.462
